Model_Year,Make,Model_1,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,CO2_Emissions,CO2_Rating,Smog_Rating
2023,Acura,Integra,Full-size,1.5,4.0,AV7,4.0,7.9,167,6,7
2023,Acura,Integra A-SPEC,Full-size,1.5,4.0,AV7,4.0,8.1,172,6,7
2023,Acura,Integra A-SPEC,Full-size,1.5,4.0,M6,4.0,8.9,181,6,6
2023,Acura,MDX SH-AWD,SUV: Small,3.5,6.0,AS10,6.0,12.6,263,4,5
2023,Acura,MDX SH-AWD Type S,SUV: Standard,3.0,6.0,AS10,6.0,13.8,291,4,5
2023,Acura,RDX SH-AWD,SUV: Small,2.0,4.0,AS10,4.0,11.0,232,5,6
2023,Acura,RDX SH-AWD A-SPEC,SUV: Small,2.0,4.0,AS10,4.0,11.3,242,5,6
2023,Acura,TLX SH-AWD,Compact,2.0,4.0,AS10,4.0,11.2,230,5,7
2023,Acura,TLX SH-AWD A-SPEC,Compact,2.0,4.0,AS10,4.0,11.3,231,5,7
2023,Acura,TLX Type S,Compact,3.0,6.0,AS10,6.0,12.3,256,5,5
2023,Alfa Romeo,Giulia,Mid-size,2.0,4.0,A8,4.0,10.0,205,5,5
2023,Alfa Romeo,Giulia AWD,Mid-size,2.0,4.0,A8,4.0,10.5,217,5,5
2023,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6.0,A8,6.0,13.5,271,4,3
2023,Alfa Romeo,Stelvio,SUV: Small,2.0,4.0,A8,4.0,10.3,218,5,5
2023,Alfa Romeo,Stelvio AWD,SUV: Small,2.0,4.0,A8,4.0,10.8,226,5,5
2023,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6.0,A8,6.0,13.9,288,4,3
2023,Alfa Romeo,Tonale AWD,SUV: Small,2.0,4.0,A9,4.0,11.2,231,5,7
2023,Aston Martin,DB11 V8,Minicompact,4.0,8.0,A8,8.0,13.0,271,4,5
2023,Aston Martin,DB11 V12,Minicompact,5.2,12.0,A8,12.0,16.4,324,3,3
2023,Aston Martin,DBS V12,Minicompact,5.2,12.0,A8,12.0,16.4,324,3,3
2023,Aston Martin,DBX V8,SUV: Standard,4.0,8.0,A9,8.0,16.8,343,3,5
2023,Aston Martin,DBX707,SUV: Standard,4.0,8.0,A9,8.0,15.7,329,3,5
2023,Aston Martin,Vantage V8,Two-seater,4.0,8.0,A8,8.0,13.1,270,4,5
2023,Aston Martin,V12 Vantage,Two-seater,5.2,12.0,A8,12.0,17.2,337,3,3
2023,Audi,A3 40 TFSI quattro,Subcompact,2.0,4.0,AM7,4.0,8.7,183,6,7
2023,Audi,A4 Sedan 45 TFSI quattro,Compact,2.0,4.0,AM7,4.0,9.7,203,5,5
2023,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2.0,4.0,AM7,4.0,10.1,214,5,5
2023,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2.0,4.0,AM7,4.0,9.9,208,5,5
2023,Audi,A5 Coupé 45 TFSI quattro,Subcompact,2.0,4.0,AM7,4.0,9.7,203,5,5
2023,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2.0,4.0,AM7,4.0,9.7,203,5,5
2023,Audi,A6 45 TFSI quattro,Mid-size,2.0,4.0,AM7,4.0,10.0,207,5,5
2023,Audi,A6 55 TFSI quattro,Mid-size,3.0,6.0,AM7,6.0,11.1,224,5,5
2023,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3.0,6.0,AM7,6.0,11.1,224,5,5
2023,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3.0,6.0,AM7,6.0,11.1,224,5,5
2023,Audi,A8 L Sedan 55 TFSI quattro,Full-size,3.0,6.0,AS8,6.0,12.5,247,5,5
2023,Audi,Q3 40 TFSI quattro,SUV: Small,2.0,4.0,AS8,4.0,10.9,224,5,6
2023,Audi,Q3 45 TFSI quattro,SUV: Small,2.0,4.0,AS8,4.0,11.2,233,5,7
2023,Audi,Q5 40 TFSI quattro,SUV: Small,2.0,4.0,AM7,4.0,10.2,217,5,1
2023,Audi,Q5 45 TFSI quattro,SUV: Small,2.0,4.0,AM7,4.0,10.6,223,5,5
2023,Audi,Q5 Sportback 45 TFSI quattro,SUV: Small,2.0,4.0,AM7,4.0,10.6,223,5,5
2023,Audi,Q7 45 TFSI quattro,SUV: Standard,2.0,4.0,AS8,4.0,12.2,257,4,5
2023,Audi,Q7 55 TFSI quattro,SUV: Standard,3.0,6.0,AS8,6.0,12.9,281,4,5
2023,Audi,Q8 55 TFSI quattro,SUV: Standard,3.0,6.0,AS8,6.0,12.8,273,4,5
2023,Audi,R8 Coupé Performance,Two-seater,5.2,10.0,AM7,10.0,16.6,320,3,1
2023,Audi,R8 Coupé Performance quattro,Two-seater,5.2,10.0,AM7,10.0,17.7,361,2,1
2023,Audi,R8 Spyder Performance,Two-seater,5.2,10.0,AM7,10.0,16.6,320,3,1
2023,Audi,R8 Spyder Performance quattro,Two-seater,5.2,10.0,AM7,10.0,17.7,361,2,1
2023,Audi,R8 GT Coupé,Two-seater,5.2,10.0,AM7,10.0,16.2,328,3,1
2023,Audi,RS 5 Coupé quattro,Subcompact,2.9,6.0,AS8,6.0,13.2,266,4,5
2023,Audi,RS 5 Sportback quattro,Mid-size,2.9,6.0,AS8,6.0,13.2,267,4,5
2023,Audi,RS 6 Avant quattro,Station wagon: Mid-size,4.0,8.0,AS8,8.0,16.4,328,3,3
2023,Audi,RS 7 Sportback quattro,Mid-size,4.0,8.0,AS8,8.0,16.4,328,3,3
2023,Audi,RS Q8 quattro,SUV: Standard,4.0,8.0,AS8,8.0,17.5,349,3,3
2023,Audi,S3 quattro,Subcompact,2.0,4.0,AM7,4.0,10.2,207,5,5
2023,Audi,S4 Sedan quattro,Compact,3.0,6.0,AS8,6.0,11.1,226,5,5
2023,Audi,S5 Cabriolet quattro,Subcompact,3.0,6.0,AS8,6.0,11.3,233,5,5
2023,Audi,S5 Coupé quattro,Subcompact,3.0,6.0,AS8,6.0,11.1,226,5,5
2023,Audi,S5 Sportback quattro,Mid-size,3.0,6.0,AS8,6.0,11.1,226,5,5
2023,Audi,S6 quattro,Mid-size,2.9,6.0,AS8,6.0,12.3,254,5,5
2023,Audi,S7 quattro,Mid-size,2.9,6.0,AS8,6.0,12.3,254,5,5
2023,Audi,S8 Sedan quattro,Full-size,4.0,8.0,AS8,8.0,15.9,313,4,3
2023,Audi,SQ5 quattro,SUV: Small,3.0,6.0,AS8,6.0,12.5,262,4,5
2023,Audi,SQ5 Sportback quattro,SUV: Small,3.0,6.0,AS8,6.0,12.5,262,4,5
2023,Audi,SQ7 quattro,SUV: Standard,4.0,8.0,AS8,8.0,16.1,325,3,3
2023,Audi,SQ8 quattro,SUV: Standard,4.0,8.0,AS8,8.0,16.1,325,3,3
2023,Audi,TT Coupé 45 TFSI quattro,Subcompact,2.0,4.0,AM7,4.0,10.5,221,5,7
2023,Audi,TT Roadster 45 TFSI quattro,Two-seater,2.0,4.0,AM7,4.0,10.5,221,5,7
2023,Audi,TTS Coupé quattro,Subcompact,2.0,4.0,AM7,4.0,10.0,209,5,3
2023,Bentley,Bentayga,SUV: Standard,4.0,8.0,AS8,8.0,16.2,328,3,3
2023,Bentley,Bentayga EWB,SUV: Standard,4.0,8.0,AS8,8.0,16.2,328,3,3
2023,Bentley,Bentayga Speed,SUV: Standard,6.0,12.0,AS8,12.0,19.3,383,2,3
2023,Bentley,Continental GT,Subcompact,4.0,8.0,AM8,8.0,15.3,307,4,3
2023,Bentley,Continental GT Speed,Subcompact,6.0,12.0,AM8,12.0,19.6,379,2,3
2023,Bentley,Continental GTC,Minicompact,4.0,8.0,AM8,8.0,15.8,315,4,3
2023,Bentley,Continental GTC Speed,Minicompact,6.0,12.0,AM8,12.0,20.3,395,2,3
2023,Bentley,Flying Spur,Mid-size,4.0,8.0,AM8,8.0,15.9,319,3,3
2023,Bentley,Flying Spur Speed,Mid-size,6.0,12.0,AM8,12.0,19.2,373,2,3
2023,BMW,230i xDrive Coupe,Subcompact,2.0,4.0,AS8,4.0,9.6,195,6,3
2023,BMW,330i xDrive Sedan,Compact,2.0,4.0,AS8,4.0,9.8,200,6,7
2023,BMW,430i xDrive Cabriolet,Subcompact,2.0,4.0,AS8,4.0,10.1,203,5,7
2023,BMW,430i xDrive Coupe,Subcompact,2.0,4.0,AS8,4.0,10.1,203,5,7
2023,BMW,530i xDrive Sedan,Mid-size,2.0,4.0,AS8,4.0,10.1,206,5,7
2023,BMW,540i xDrive Sedan,Mid-size,3.0,6.0,AS8,6.0,10.5,219,5,5
2023,BMW,760i xDrive Sedan,Full-size,4.4,8.0,AS8,8.0,13.0,261,4,5
2023,BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8.0,AS8,8.0,14.1,284,4,3
2023,BMW,ALPINA XB7,SUV: Standard,4.4,8.0,AS8,8.0,15.2,314,4,5
2023,BMW,M2 Coupe,Subcompact,3.0,6.0,AS8,6.0,14.6,294,4,5
2023,BMW,M2 Coupe,Subcompact,3.0,6.0,M6,6.0,14.3,287,4,5
2023,BMW,M240i xDrive Coupe,Subcompact,3.0,6.0,AS8,6.0,10.4,210,5,5
2023,BMW,M3 Sedan,Compact,3.0,6.0,M6,6.0,14.7,293,4,5
2023,BMW,M3 Competition M xDrive Sedan,Compact,3.0,6.0,AS8,6.0,14.6,296,4,5
2023,BMW,M340i xDrive Sedan,Compact,3.0,6.0,AS8,6.0,10.3,210,5,5
2023,BMW,M4 Competition M xDrive Cabriolet,Subcompact,3.0,6.0,AS8,6.0,15.1,301,4,5
2023,BMW,M4 Coupe,Subcompact,3.0,6.0,M6,6.0,14.7,293,4,5
2023,BMW,M4 Competition M xDrive Coupe,Subcompact,3.0,6.0,AS8,6.0,14.6,296,4,5
2023,BMW,M4 CSL Coupe,Subcompact,3.0,6.0,AS8,6.0,15.0,301,4,5
2023,BMW,M440i xDrive Cabriolet,Subcompact,3.0,6.0,AS8,6.0,10.6,216,5,5
2023,BMW,M440i xDrive Coupe,Subcompact,3.0,6.0,AS8,6.0,10.7,216,5,5
2023,BMW,M5 Sedan,Mid-size,4.4,8.0,AS8,8.0,16.1,324,3,3
2023,BMW,M5 Competition Sedan,Mid-size,4.4,8.0,AS8,8.0,16.1,324,3,3
2023,BMW,M550i xDrive Sedan,Mid-size,4.4,8.0,AS8,8.0,14.0,277,4,3
2023,BMW,M8 Competition Cabriolet,Subcompact,4.4,8.0,AS8,8.0,16.1,321,3,3
2023,BMW,M8 Competition Coupe,Subcompact,4.4,8.0,AS8,8.0,16.1,321,3,3
2023,BMW,M8 Competition Gran Coupe,Mid-size,4.4,8.0,AS8,8.0,16.1,321,3,3
2023,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8.0,AS8,8.0,14.1,284,4,3
2023,BMW,M850i xDrive Coupe,Subcompact,4.4,8.0,AS8,8.0,14.1,284,4,3
2023,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8.0,AS8,8.0,14.1,284,4,3
2023,BMW,X1 xDrive28i,SUV: Small,2.0,4.0,AM7,4.0,9.6,195,6,8
2023,BMW,X3 xDrive30i,SUV: Small,2.0,4.0,AS8,4.0,11.0,229,5,7
2023,BMW,X3 M,SUV: Small,3.0,6.0,AS8,6.0,15.7,323,3,3
2023,BMW,X3 M Competition,SUV: Small,3.0,6.0,AS8,6.0,15.7,323,3,3
2023,BMW,X3 M40i,SUV: Small,3.0,6.0,AS8,6.0,10.9,235,5,5
2023,BMW,X4 xDrive30i,SUV: Small,2.0,4.0,AS8,4.0,11.0,229,5,7
2023,BMW,X4 M,SUV: Small,3.0,6.0,AS8,6.0,15.7,323,3,3
2023,BMW,X4 M Competition,SUV: Small,3.0,6.0,AS8,6.0,15.7,323,3,3
2023,BMW,X4 M40i,SUV: Small,3.0,6.0,AS8,6.0,10.9,235,5,5
2023,BMW,X5 xDrive40i,SUV: Standard,3.0,6.0,AS8,6.0,11.4,242,5,3
2023,BMW,X5 M,SUV: Standard,4.4,8.0,AS8,8.0,17.9,364,2,3
2023,BMW,X5 M Competition,SUV: Standard,4.4,8.0,AS8,8.0,17.9,364,2,3
2023,BMW,X5 M50i,SUV: Standard,4.4,8.0,AS8,8.0,14.7,302,4,3
2023,BMW,X6 xDrive40i,SUV: Standard,3.0,6.0,AS8,6.0,11.4,242,5,3
2023,BMW,X6 M,SUV: Standard,4.4,8.0,AS8,8.0,17.9,364,2,3
2023,BMW,X6 M Competition,SUV: Standard,4.4,8.0,AS8,8.0,17.9,364,2,3
2023,BMW,X6 M50i,SUV: Standard,4.4,8.0,AS8,8.0,14.7,302,4,3
2023,BMW,X7 xDrive40i,SUV: Standard,3.0,6.0,AS8,6.0,11.3,243,5,7
2023,BMW,X7 M60i xDrive,SUV: Standard,4.4,8.0,AS8,8.0,14.3,299,4,5
2023,BMW,Z4 sDrive30i,Two-seater,2.0,4.0,AS8,4.0,9.4,194,6,7
2023,BMW,Z4 M40i,Two-seater,3.0,6.0,AS8,6.0,10.4,210,5,5
2023,Bugatti,Chiron,Two-seater,8.0,16.0,AM7,16.0,26.8,522,1,1
2023,Bugatti,Chiron Pur Sport,Two-seater,8.0,16.0,AM7,16.0,30.3,608,1,1
2023,Bugatti,Chiron Super Sport,Two-seater,8.0,16.0,AM7,16.0,30.3,608,1,1
2023,Buick,Enclave AWD,SUV: Standard,3.6,6.0,A9,6.0,13.6,277,4,6
2023,Buick,Encore GX,SUV: Small,1.2,3.0,AV,3.0,8.0,184,6,7
2023,Buick,Encore GX,SUV: Small,1.3,3.0,AV,3.0,8.2,185,6,7
2023,Buick,Encore GX AWD,SUV: Small,1.3,3.0,A9,3.0,9.0,202,5,7
2023,Buick,Envision,SUV: Small,2.0,4.0,AS9,4.0,10.2,211,5,7
2023,Buick,Envision AWD,SUV: Small,2.0,4.0,AS9,4.0,10.5,222,5,7
2023,Cadillac,CT4,Compact,2.0,4.0,AS8,4.0,10.2,206,5,7
2023,Cadillac,CT4,Compact,2.7,4.0,AS10,4.0,11.0,221,5,6
2023,Cadillac,CT4 AWD,Compact,2.0,4.0,AS8,4.0,10.5,216,5,7
2023,Cadillac,CT4 AWD,Compact,2.7,4.0,AS10,4.0,11.3,231,5,6
2023,Cadillac,CT4-V,Compact,2.7,4.0,AS10,4.0,11.9,239,5,6
2023,Cadillac,CT4-V AWD,Compact,2.7,4.0,AS10,4.0,12.0,244,5,6
2023,Cadillac,CT4-V Blackwing,Compact,3.6,6.0,AS10,6.0,15.0,297,4,5
2023,Cadillac,CT4-V Blackwing,Compact,3.6,6.0,M6,6.0,15.2,303,4,5
2023,Cadillac,CT5,Mid-size,2.0,4.0,AS10,4.0,10.3,207,5,7
2023,Cadillac,CT5,Mid-size,3.0,6.0,AS10,6.0,12.4,252,5,5
2023,Cadillac,CT5 AWD,Mid-size,2.0,4.0,AS10,4.0,10.9,222,5,7
2023,Cadillac,CT5 AWD,Mid-size,3.0,6.0,AS10,6.0,13.1,265,4,5
2023,Cadillac,CT5-V,Mid-size,3.0,6.0,AS10,6.0,13.1,263,4,5
2023,Cadillac,CT5-V AWD,Mid-size,3.0,6.0,AS10,6.0,13.1,265,4,5
2023,Cadillac,CT5-V Blackwing,Mid-size,6.2,8.0,AS10,8.0,17.9,347,3,3
2023,Cadillac,CT5-V Blackwing,Mid-size,6.2,8.0,M6,8.0,18.4,368,2,3
2023,Cadillac,Escalade 4WD,SUV: Standard,3.0,6.0,A10,6.0,11.7,281,4,3
2023,Cadillac,Escalade 4WD,SUV: Standard,6.2,8.0,A10,8.0,16.6,352,3,6
2023,Cadillac,Escalade-V AWD,SUV: Standard,6.2,8.0,AS10,8.0,21.6,436,1,3
2023,Cadillac,XT4,SUV: Small,2.0,4.0,AS9,4.0,10.2,214,5,7
2023,Cadillac,XT4 AWD,SUV: Small,2.0,4.0,AS9,4.0,10.9,228,5,7
2023,Cadillac,XT5,SUV: Small,2.0,4.0,AS9,4.0,10.9,228,5,7
2023,Cadillac,XT5 AWD,SUV: Small,2.0,4.0,AS9,4.0,11.2,237,5,7
2023,Cadillac,XT5 AWD,SUV: Small,3.6,6.0,AS9,6.0,12.9,265,4,6
2023,Cadillac,XT6 AWD,SUV: Small,2.0,4.0,AS9,4.0,11.2,239,5,7
2023,Cadillac,XT6 AWD,SUV: Small,3.6,6.0,AS9,6.0,13.1,269,4,6
2023,Chevrolet,Blazer,SUV: Small,2.0,4.0,A9,4.0,10.6,227,5,7
2023,Chevrolet,Blazer AWD,SUV: Small,2.0,4.0,A9,4.0,10.8,232,5,7
2023,Chevrolet,Blazer AWD,SUV: Small,3.6,6.0,A9,6.0,12.6,259,4,6
2023,Chevrolet,Camaro,Subcompact,2.0,4.0,AS8,4.0,10.9,222,5,5
2023,Chevrolet,Camaro,Subcompact,2.0,4.0,M6,4.0,12.6,249,5,5
2023,Chevrolet,Camaro,Subcompact,3.6,6.0,AS10,6.0,12.8,253,5,6
2023,Chevrolet,Camaro,Subcompact,3.6,6.0,M6,6.0,14.4,281,4,6
2023,Chevrolet,Camaro SS,Subcompact,6.2,8.0,AS10,8.0,14.6,281,4,1
2023,Chevrolet,Camaro SS,Subcompact,6.2,8.0,M6,8.0,14.9,297,4,1
2023,Chevrolet,Camaro ZL1,Subcompact,6.2,8.0,AS10,8.0,18.3,355,3,1
2023,Chevrolet,Camaro ZL1,Subcompact,6.2,8.0,M6,8.0,17.2,349,3,1
2023,Chevrolet,Colorado,Pickup truck: Small,2.7,4.0,A8,4.0,11.7,252,5,7
2023,Chevrolet,Colorado (Turbo Plus),Pickup truck: Small,2.7,4.0,A8,4.0,13.0,277,4,7
2023,Chevrolet,Colorado 4WD,Pickup truck: Small,2.7,4.0,A8,4.0,12.3,265,4,7
2023,Chevrolet,Colorado 4WD (Turbo Plus),Pickup truck: Small,2.7,4.0,A8,4.0,13.5,290,4,7
2023,Chevrolet,Colorado 4WD Mud Terrain Tire (Turbo Plus),Pickup truck: Small,2.7,4.0,A8,4.0,13.9,307,4,7
2023,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.7,4.0,A8,4.0,14.3,335,3,7
2023,Chevrolet,Corvette,Two-seater,6.2,8.0,AS8,8.0,15.0,299,4,5
2023,Chevrolet,Corvette Z06,Two-seater,5.5,8.0,AS8,8.0,19.4,371,2,3
2023,Chevrolet,Corvette Z06 Carbon Aero,Two-seater,5.5,8.0,AS8,8.0,20.0,392,2,3
2023,Chevrolet,Equinox,SUV: Small,1.5,4.0,A6,4.0,8.9,197,6,7
2023,Chevrolet,Equinox AWD,SUV: Small,1.5,4.0,A6,4.0,9.9,211,5,7
2023,Chevrolet,Malibu,Mid-size,1.5,4.0,AV,4.0,8.6,181,6,7
2023,Chevrolet,Silverado,Pickup truck: Standard,2.7,4.0,A8,4.0,12.7,281,4,7
2023,Chevrolet,Silverado,Pickup truck: Standard,3.0,6.0,A10,6.0,10.0,247,5,5
2023,Chevrolet,Silverado,Pickup truck: Standard,5.3,8.0,A10,8.0,14.0,298,4,6
2023,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8.0,A10,8.0,14.3,308,4,5
2023,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8.0,A10,8.0,19.6,293,4,5
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4.0,A8,4.0,12.9,288,4,7
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4.0,A8,4.0,13.8,318,3,7
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6.0,A10,6.0,10.7,264,4,5
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,3.0,6.0,A10,6.0,11.1,288,4,5
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8.0,A10,8.0,14.8,325,3,6
2023,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8.0,A10,8.0,15.2,326,3,5
2023,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8.0,A10,8.0,21.3,318,3,5
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8.0,A10,8.0,15.8,343,3,6
2023,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8.0,A10,8.0,15.2,326,3,5
2023,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8.0,A10,8.0,21.3,318,3,5
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8.0,A10,8.0,14.9,319,3,6
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,6.2,8.0,A10,8.0,16.7,349,3,6
2023,Chevrolet,Silverado 4WD ZR2,Pickup truck: Standard,6.2,8.0,A10,8.0,16.7,364,2,6
2023,Chevrolet,Suburban,SUV: Standard,3.0,6.0,A10,6.0,11.2,272,4,3
2023,Chevrolet,Suburban,SUV: Standard,5.3,8.0,A10,8.0,15.8,327,3,6
